Time: 2.324 s, PosX: 0.040, PosZ: 0.193
Time: 2.332 s, PosX: 0.040, PosZ: 0.193
Time: 2.336 s, PosX: 0.040, PosZ: 0.193
Time: 2.340 s, PosX: 0.040, PosZ: 0.193
Time: 2.344 s, PosX: 0.040, PosZ: 0.193
Time: 2.352 s, PosX: 0.040, PosZ: 0.193
Time: 2.356 s, PosX: 0.040, PosZ: 0.193
Time: 2.360 s, PosX: 0.040, PosZ: 0.193
Time: 2.364 s, PosX: 0.040, PosZ: 0.193
Time: 2.368 s, PosX: 0.040, PosZ: 0.193
Time: 2.376 s, PosX: 0.040, PosZ: 0.193
Time: 2.380 s, PosX: 0.040, PosZ: 0.193
Time: 2.384 s, PosX: 0.040, PosZ: 0.193
Time: 2.392 s, PosX: 0.040, PosZ: 0.193
Time: 2.396 s, PosX: 0.040, PosZ: 0.193
Time: 2.400 s, PosX: 0.040, PosZ: 0.193
Time: 2.408 s, PosX: 0.040, PosZ: 0.193
Time: 2.412 s, PosX: 0.040, PosZ: 0.193
Time: 2.416 s, PosX: 0.040, PosZ: 0.193
Time: 2.420 s, PosX: 0.040, PosZ: 0.193
Time: 2.428 s, PosX: 0.040, PosZ: 0.193
Time: 2.432 s, PosX: 0.040, PosZ: 0.193
Time: 2.436 s, PosX: 0.040, PosZ: 0.193
Time: 2.440 s, PosX: 0.040, PosZ: 0.193
Time: 2.448 s, PosX: 0.040, PosZ: 0.193
Time: 2.452 s, PosX: 0.040, PosZ: 0.193
Time: 2.456 s, PosX: 0.040, PosZ: 0.193
Time: 2.464 s, PosX: 0.040, PosZ: 0.193
Time: 2.468 s, PosX: 0.040, PosZ: 0.193
Time: 2.472 s, PosX: 0.040, PosZ: 0.193
Time: 2.476 s, PosX: 0.040, PosZ: 0.193
Time: 2.484 s, PosX: 0.040, PosZ: 0.193
Time: 2.488 s, PosX: 0.040, PosZ: 0.193
Time: 2.492 s, PosX: 0.040, PosZ: 0.193
Time: 2.500 s, PosX: 0.040, PosZ: 0.193
Time: 2.504 s, PosX: 0.040, PosZ: 0.193
Time: 2.512 s, PosX: 0.040, PosZ: 0.193
Time: 2.516 s, PosX: 0.040, PosZ: 0.193
Time: 2.524 s, PosX: 0.040, PosZ: 0.193
Time: 2.528 s, PosX: 0.040, PosZ: 0.193
Time: 2.536 s, PosX: 0.040, PosZ: 0.193
Time: 2.540 s, PosX: 0.040, PosZ: 0.193
Time: 2.544 s, PosX: 0.040, PosZ: 0.193
Time: 2.552 s, PosX: 0.040, PosZ: 0.193
Time: 2.556 s, PosX: 0.040, PosZ: 0.193
Time: 2.564 s, PosX: 0.040, PosZ: 0.193
Time: 2.568 s, PosX: 0.040, PosZ: 0.193
Time: 2.576 s, PosX: 0.040, PosZ: 0.193
Time: 2.580 s, PosX: 0.040, PosZ: 0.193
Time: 2.588 s, PosX: 0.040, PosZ: 0.193
Time: 2.592 s, PosX: 0.040, PosZ: 0.193
Time: 2.596 s, PosX: 0.040, PosZ: 0.193
Time: 2.608 s, PosX: 0.040, PosZ: 0.193
Time: 2.616 s, PosX: 0.040, PosZ: 0.193
Time: 2.620 s, PosX: 0.040, PosZ: 0.193
Time: 2.628 s, PosX: 0.040, PosZ: 0.193
Time: 2.628 s, PosX: 0.040, PosZ: 0.193
Time: 2.632 s, PosX: 0.040, PosZ: 0.193
Time: 2.640 s, PosX: 0.040, PosZ: 0.193
Time: 2.644 s, PosX: 0.040, PosZ: 0.193
Time: 2.652 s, PosX: 0.040, PosZ: 0.193
Time: 2.656 s, PosX: 0.040, PosZ: 0.193
Time: 2.660 s, PosX: 0.040, PosZ: 0.193
Time: 2.668 s, PosX: 0.040, PosZ: 0.193
Time: 2.672 s, PosX: 0.040, PosZ: 0.193
Time: 2.680 s, PosX: 0.040, PosZ: 0.193
Time: 2.684 s, PosX: 0.040, PosZ: 0.193
Time: 2.692 s, PosX: 0.040, PosZ: 0.193
Time: 2.696 s, PosX: 0.040, PosZ: 0.193
Time: 2.700 s, PosX: 0.040, PosZ: 0.193
Time: 2.708 s, PosX: 0.040, PosZ: 0.193
Time: 2.712 s, PosX: 0.040, PosZ: 0.193
Time: 2.720 s, PosX: 0.040, PosZ: 0.193
Time: 2.724 s, PosX: 0.040, PosZ: 0.193
Time: 2.728 s, PosX: 0.040, PosZ: 0.193
Time: 2.736 s, PosX: 0.040, PosZ: 0.193
Time: 2.740 s, PosX: 0.040, PosZ: 0.193
Time: 2.744 s, PosX: 0.040, PosZ: 0.193
Time: 2.752 s, PosX: 0.040, PosZ: 0.193
Time: 2.756 s, PosX: 0.040, PosZ: 0.193
Time: 2.760 s, PosX: 0.040, PosZ: 0.193
Time: 2.768 s, PosX: 0.040, PosZ: 0.193
Time: 2.772 s, PosX: 0.040, PosZ: 0.193
Time: 2.776 s, PosX: 0.040, PosZ: 0.193
Time: 2.784 s, PosX: 0.040, PosZ: 0.193
Time: 2.788 s, PosX: 0.040, PosZ: 0.193
Time: 2.792 s, PosX: 0.040, PosZ: 0.193
Time: 2.800 s, PosX: 0.040, PosZ: 0.193
Time: 2.804 s, PosX: 0.040, PosZ: 0.193
